Genus species,Data_Name_As,Habitat,locality,lineage,musrego,Sex,SVL,HLL,HW,FLL,IN,EN,EY,THIRD,FTD,Source,HLLsvl,FLLsvl,HWsvl,THIRDsvl,INsvl,ENsvl,EYsvl,FOURTHsvl,PC1,PC2,PC3,PC4
Aphantophryne minuta,Aphantophryne minuta,,,,AMNH 130297,F,11.8,4.3,5,,1.2,0.85,1.6,0.2,,Zweifel & Parker 1989,,,,,,,,,,,,
Aphantophryne sabini,Aphantophryne sabini,,,,AMNH 130298,F,22.6,6.9,8.4,,1.7,1.45,2.3,0.35,,Zweifel & Parker 1989,,,,,,,,,,,,
Aphantophryne pansa,Cophixalus pansus,,,,AMS R5238,,28,8.7,11.1,,2.3,1.87,2.97,0.73,,Zweifel & Allison 1982,,,,,,,,,,,,
Asterophrys eurydactyla,Pseudocallulops eurydactylus,,,,ZMB 63878,F,35.5,17.4,,,,,,,,,,,,,,,,,,,,
Asterophrys leucopus,Asterophrys leucopus,,,,QM J58650,M,43,17.1,21,,3.5,4.3,5,1.2,,Richards et al. 1994,,,,,,,,,,,,
Asterophrys marani,Metamagnusia marani,,,,63879,,43,19.7,17,,3.5,3.1,5.4,3.1,,Gunther 2009,,,,,,,,,,,,
Asterophrys marani,Metamagnusia marani,,,,63880,,42.3,18.3,17.2,,3.6,3.6,4.7,3.1,,Gunther 2009,,,,,,,,,,,,
Asterophrys marani,Metamagnusia marani,,,,63881,,43.5,19.7,16.4,,3.5,3.5,5.2,3,,Gunther 2009,,,,,,,,,,,,
Asterophrys senglaubi,Oninia senglaubi,,,,ZMB 74606,M,17.8,8.1,7.2,,1.4,1.2,2,0.4,0.6,Gunther et al. 2010,,,,,,,,,,,,
Asterophrys senglaubi,Oninia senglaubi,,,,ZMB 74607,M,18.4,7.8,7,,1.3,1.4,2.1,0.3,0.5,Gunther et al. 2010,,,,,,,,,,,,
Asterophrys senglaubi,Oninia senglaubi,,,,ZMB 74608,M,18.1,7.9,7.3,,1.5,1.3,2,0.35,0.5,Gunther et al. 2010,,,,,,,,,,,,
Asterophrys senglaubi,Oninia senglaubi,,,,ZMB 74609,M,17.2,7.8,6.8,,1.5,1.3,1.9,0.3,0.5,Gunther et al. 2010,,,,,,,,,,,,
Asterophrys senglaubi,Oninia senglaubi,,,,ZMB 74610,M,18.8,8.1,7.1,,1.6,1.5,2.1,0.35,0.7,Gunther et al. 2010,,,,,,,,,,,,
Asterophrys senglaubi,Oninia senglaubi,,,,ZMB 74611,M,18.7,8.1,7,,1.5,1.5,2.2,0.3,0.55,Gunther et al. 2010,,,,,,,,,,,,
Austrochaperina adamantina,Austrochaperina adamantina,,,,AMNH A78185,F,28.1,12.2,9.5,,2.75,2.05,3.5,1.15,,Zweifel 2000,,,,,,,,,,,,
Austrochaperina adelphe,Austrochaperina adelphe,,,,SAMA R17344,M,15,6.8,5.8,,1.5,1.05,1.75,0.4,,Zweifel 1985,,,,,,,,,,,,
Austrochaperina alexanderi,Austrochaperina alexanderi,,,,SAMA R65091,M,36.1,17.4,14.4,,4.1,3,5.2,1.6,1.9,Gunther et al. 2014,,,,,,,,,,,,
Austrochaperina alexanderi,Austrochaperina alexanderi,,,,SAMA R65092,M,42.4,18.4,15.4,,4.7,3.2,5.7,1.8,2.3,Gunther et al. 2014,,,,,,,,,,,,
Austrochaperina alexanderi,Austrochaperina alexanderi,,,,SAMA R65093,M,44.1,20,17,,4.8,3.3,5.7,1.9,2.5,Gunther et al. 2014,,,,,,,,,,,,
Austrochaperina alexanderi,Austrochaperina alexanderi,,,,SAMA R65094,M,44.4,20.2,16.7,,4.5,3.2,6,2,2.3,Gunther et al. 2014,,,,,,,,,,,,
Austrochaperina alexanderi,Austrochaperina alexanderi,,,,ZMB 79520,M,42.5,19.7,16.3,,4.6,2.7,5.4,2,2.2,Gunther et al. 2014,,,,,,,,,,,,
Austrochaperina aquilonia,Austrochaperina aquilonia,,,,AMNH A78186,M,31,12.7,11.2,,3.45,2.3,3.4,0.8,,Zweifel 2000,,,,,,,,,,,,
Austrochaperina archboldi,Austrochaperina archboldi,,,,AMNH A66719,M,34.7,16,13.8,,3.9,2.5,3.7,1.1,,Zweifel 2000,,,,,,,,,,,,
Austrochaperina blumi,Austrochaperina blumi,,,,MZB 3562,F,26.3,11.3,9,,2.8,2.15,3.05,1,,Zweifel 2000,,,,,,,,,,,,
Austrochaperina brevipes,Austrochaperina brevipes,,,,holotype,,20.5,7.4,8.4,,1.93,1.69,2.65,,,Zweifel 2000,,,,,,,,,,,,
Austrochaperina gracilipes,Austrochaperina gracilipes,,,,,,23,10.67,7.64,,,,,0.82,,,,,,,,,,,,,,
Austrochaperina hooglandi,Austrochaperina hooglandi,,,,AMNH A77597,M,40.1,17.6,14.5,,4.1,3.1,3.8,1.05,,Zweifel 2000,,,,,,,,,,,,
Austrochaperina kosarek,Austrochaperina kosarek,,,,MZB 3561,F,21,8.6,7.8,,2.35,1.5,2.55,0.45,,Zweifel 2000,,,,,,,,,,,,
Austrochaperina laurae,Austrochaperina laurae,,,,SAMA R65095,M,26.9,11.1,11,,3.2,2,3.2,0.8,1.2,Gunther et al. 2014,,,,,,,,,,,,
Austrochaperina laurae,Austrochaperina laurae,,,,SAMA R65096,M,27,12,11.5,,3,2.2,3.3,0.9,1.4,Gunther et al. 2014,,,,,,,,,,,,
Austrochaperina laurae,Austrochaperina laurae,,,,SAMA R65097,M,27.4,12,10.4,,3.1,2.1,3.4,0.8,1.2,Gunther et al. 2014,,,,,,,,,,,,
Austrochaperina laurae,Austrochaperina laurae,,,,SAMA R65098,F,31.2,14.1,11.7,,3.3,2.2,3.6,1.3,1.6,Gunther et al. 2014,,,,,,,,,,,,
Austrochaperina laurae,Austrochaperina laurae,,,,SAMA 65099,F,35.2,14.3,12.9,,3.5,2.6,3.8,1,1.5,Gunther et al. 2014,,,,,,,,,,,,
Austrochaperina laurae,Austrochaperina laurae,,,,SAMA 65100,M,29.2,13.6,11.9,,3.1,2.2,3.7,0.8,1.3,Gunther et al. 2014,,,,,,,,,,,,
Austrochaperina laurae,Austrochaperina laurae,,,,ZMB 79521,F,28.2,13.4,11,,3.2,2.3,3.5,1,1.3,Gunther et al. 2014,,,,,,,,,,,,
Austrochaperina laurae,Austrochaperina laurae,,,,ZMB 79522,M,29.6,13.1,10.7,,3,2.2,3.5,0.8,1.2,Gunther et al. 2014,,,,,,,,,,,,
Austrochaperina macrorhyncha,Austrochaperina macrorhyncha,,,,FMNH 100117,M,29.7,14.1,9.75,,3.15,2.2,3.9,1.25,,Zweifel 2000,,,,,,,,,,,,
Austrochaperina novaebritanniae,Austrochaperina novaebritanniae,,,,AMNH A83058,F,18.2,8.5,6.5,,1.9,1.35,2.1,0.45,,Zweifel 2000,,,,,,,,,,,,
Austrochaperina parkeri,Austrochaperina parkeri,,,,MCZ A89220,F,30.6,13.6,10.7,,3.2,2.15,3.2,0.95,,Zweifel 2000,,,,,,,,,,,,
Austrochaperina robusta,Austrochaperina robusta,,,,AMS R5295,F,23.7,9.7,8.3,,2.35,1.4,2.5,0.6,,Zweifel 1985,,,,,,,,,,,,
Austrochaperina yelaensis,Austrochaperina yelaensis,,,,AMNH A135406,F,20.5,9.3,7.9,,2.3,1.6,2.8,0.6,,Zweifel 2000,,,,,,,,,,,,
Barygenys apodasta,Barygenys apodasta,,,,BPBM 38913,,31.8,11.6,10.7,,2.3,1.5,1.6,0.25,1.3,Kraus 2013,,,,,,,,,,,,
Barygenys atra,Barygenys atra,,,,holotype,,41,16.8,12.8,,3.2,2.5,1.6,,,Zweifel 1972,,,,,,,,,,,,
Barygenys resima,Barygenys resima,,,,BPBM 20140,,42.6,15.1,14.2,,3.2,1.8,1.8,0.3,1.53,Kraus 2013,,,,,,,,,,,,
Barygenys resima,Barygenys resima,,,,BPBM 15259,,44.9,15.1,14.8,,3.2,2,1.8,0.31,1.48,Kraus 2013,,,,,,,,,,,,
Callulops argus,Callulops argus,,,,AMNH 82886,F,81,31.4,24.3,,5.7,5.4,4.6,2.08,2.6,Kraus 2019,,,,,,,,,,,,
Callulops biakensis,Callulops biakensis,,,,ZMB 64107,M,66.2,28.2,24.1,,5.5,3.7,6.1,2,2.3,Gunther et al. 2012,,,,,,,,,,,,
Callulops biakensis,Callulops biakensis,,,,ZMB 64108,,67.8,29.1,23.5,,5.6,4,6.4,1.9,2.2,Gunther et al. 2012,,,,,,,,,,,,
Callulops biakensis,Callulops biakensis,,,,ZMB 64109,,61,26.9,22.5,,4.9,3.5,5.5,1.8,2,Gunther et al. 2012,,,,,,,,,,,,
Callulops biakensis,Callulops biakensis,,,,ZMB 64110,,53.6,25.2,20.3,,5,3.5,5.2,1.4,1.7,Gunther et al. 2012,,,,,,,,,,,,
Callulops bicolor,Callulops bicolor,,,,BPBM 19236,M,70.7,27.8,23.5,,4.7,4.2,4.9,2.01,2.23,Kraus 2019,,,,,,,,,,,,
Callulops bicolor,Callulops bicolor,,,,BPBM 38834,M,70.6,28.8,24.7,,5.3,3.6,4.5,2.38,2.46,Kraus 2019,,,,,,,,,,,,
Callulops bicolor,Callulops bicolor,,,,AMS 9603,M,65.4,25.2,25,,5.1,3.8,4.9,1.8,2,Kraus 2019,,,,,,,,,,,,
Callulops bicolor,Callulops bicolor,,,,AMS 9605,M,68,26.5,22.8,,5.1,3.8,4.8,1.8,2.15,Kraus 2019,,,,,,,,,,,,
Callulops bicolor,Callulops bicolor,,,,AMS 9606,M,70,27.6,23.5,,5.2,4,5.6,1.95,2.45,Kraus 2019,,,,,,,,,,,,
Callulops bicolor,Callulops bicolor,,,,BMNH 1935.3.9.116,F,75.5,28.8,24.5,,5.3,4.3,5.5,1.62,1.98,Kraus 2019,,,,,,,,,,,,
Callulops bicolor,Callulops bicolor,,,,BMNH 1935.3.9.117,F,67.6,28.6,24.2,,4.9,4.1,4.5,2.01,2.48,Kraus 2019,,,,,,,,,,,,
Callulops bicolor,Callulops bicolor,,,,BMNH 1935.3.9.118,F,68.5,29.6,23.8,,5.1,4,5.6,2.14,2.55,Kraus 2019,,,,,,,,,,,,
Callulops bicolor,Callulops bicolor,,,,BMNH 1935.3.9.119,M,67.6,26.2,22.3,,5.1,4.3,5,1.71,2.2,Kraus 2019,,,,,,,,,,,,
Callulops doriae,Callulops doriae,,,,BMNH 1947.2.10.99,F,74.2,31.1,26.2,,5.1,4.4,5.8,2,2.25,Kraus 2019,,,,,,,,,,,,
