old_name,asw_accepted_name,asw_status,asw_url,asw_notes
Asterophrys turpicola,Asterophrys turpicola,accepted,https://amphibiansoftheworld.amnh.org/Amphibia/Anura/Microhylidae/Asterophryinae/Asterophrys/Asterophrys-turpicola,Name matches current accepted name in ASW
Barygenys atra,Barygenys atra,accepted,https://amphibiansoftheworld.amnh.org/Amphibia/Anura/Microhylidae/Asterophryinae/Barygenys/Barygenys-atra,Name matches current accepted name in ASW
Barygenys exsul,Barygenys exsul,accepted,https://amphibiansoftheworld.amnh.org/Amphibia/Anura/Microhylidae/Asterophryinae/Barygenys/Barygenys-exsul,Name matches current accepted name in ASW
Barygenys flavigularis,Barygenys flavigularis,accepted,https://amphibiansoftheworld.amnh.org/Amphibia/Anura/Microhylidae/Asterophryinae/Barygenys/Barygenys-flavigularis,Name matches current accepted name in ASW
Barygenys maculata,Barygenys maculata,accepted,https://amphibiansoftheworld.amnh.org/Amphibia/Anura/Microhylidae/Asterophryinae/Barygenys/Barygenys-maculata,Name matches current accepted name in ASW
Barygenys nana,Barygenys nana,accepted,https://amphibiansoftheworld.amnh.org/Amphibia/Anura/Microhylidae/Asterophryinae/Barygenys/Barygenys-nana,Name matches current accepted name in ASW
Barygenys sp.nov BPBM 9366-69,,not_found,,No results found in ASW basic search (quoted or unquoted)
Choerophryne rostellifer,Choerophryne rostellifer,accepted,https://amphibiansoftheworld.amnh.org/Amphibia/Anura/Microhylidae/Asterophryinae/Choerophryne/Choerophryne-rostellifer,Name matches current accepted name in ASW
Cophixalus darlingtoni,Choerophryne darlingtoni,synonym,https://amphibiansoftheworld.amnh.org/Amphibia/Anura/Microhylidae/Asterophryinae/Choerophryne/Choerophryne-darlingtoni,Input name 'Cophixalus darlingtoni' found in synonymy; current accepted name is 'Choerophryne darlingtoni'
Cophixalus kaindiensis,Cophixalus kaindiensis,accepted,https://amphibiansoftheworld.amnh.org/Amphibia/Anura/Microhylidae/Asterophryinae/Cophixalus/Cophixalus-kaindiensis,Name matches current accepted name in ASW
Cophixalus ornatus,Cophixalus ornatus,accepted,https://amphibiansoftheworld.amnh.org/Amphibia/Anura/Microhylidae/Asterophryinae/Cophixalus/Cophixalus-ornatus,Name matches current accepted name in ASW
Cophixalus parkeri,Cophixalus parkeri,accepted,https://amphibiansoftheworld.amnh.org/Amphibia/Anura/Microhylidae/Asterophryinae/Cophixalus/Cophixalus-parkeri,Name matches current accepted name in ASW
Cophixalus riparius,Cophixalus riparius,accepted,https://amphibiansoftheworld.amnh.org/Amphibia/Anura/Microhylidae/Asterophryinae/Cophixalus/Cophixalus-riparius,Name matches current accepted name in ASW
Cophixalus shellyi,Cophixalus shellyi,accepted,https://amphibiansoftheworld.amnh.org/Amphibia/Anura/Microhylidae/Asterophryinae/Cophixalus/Cophixalus-shellyi,Name matches current accepted name in ASW
Cophixalus variegatus,Cophixalus montanus,synonym,https://amphibiansoftheworld.amnh.org/Amphibia/Anura/Microhylidae/Asterophryinae/Cophixalus/Cophixalus-montanus,Input name 'Cophixalus variegatus' found in synonymy; current accepted name is 'Cophixalus montanus'
Cophixalus verrucosus,Cophixalus verrucosus,accepted,https://amphibiansoftheworld.amnh.org/Amphibia/Anura/Microhylidae/Asterophryinae/Cophixalus/Cophixalus-verrucosus,Name matches current accepted name in ASW
Copiula fistulans,Copiula fistulans,accepted,https://amphibiansoftheworld.amnh.org/Amphibia/Anura/Microhylidae/Asterophryinae/Copiula/Copiula-fistulans,Name matches current accepted name in ASW
Genyophryne thomsoni,Sphenophryne thomsoni,synonym,https://amphibiansoftheworld.amnh.org/Amphibia/Anura/Microhylidae/Asterophryinae/Sphenophryne/Sphenophryne-thomsoni,Input name 'Genyophryne thomsoni' found in synonymy; current accepted name is 'Sphenophryne thomsoni'
Hylophorbus extimus,Hylophorbus extimus,accepted,https://amphibiansoftheworld.amnh.org/Amphibia/Anura/Microhylidae/Asterophryinae/Hylophorbus/Hylophorbus-extimus,Name matches current accepted name in ASW
Hylophorbus myopicus,Hylophorbus myopicus,accepted,https://amphibiansoftheworld.amnh.org/Amphibia/Anura/Microhylidae/Asterophryinae/Hylophorbus/Hylophorbus-myopicus,Name matches current accepted name in ASW
