,Aphantophryne,Asterophrys,Austrochaperina,Barygenys,Callulops,Choerophryne,Cophixalus,Copiula,Gastrophrynoides,Hylophorbus,Mantophryne,Oreophryne,Paedophryne,Siamophryne,Sphenophryne,Vietnamophryne,Xenorhina,nsamp,class.error
Aphantophryne,3,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,10,0.7
Asterophrys,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
Austrochaperina,0,0,21,0,1,1,0,1,0,1,0,0,0,0,0,1,0,26,0.192307692
Barygenys,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Callulops,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,66,0
Choerophryne,0,0,0,0,0,26,1,0,0,0,0,3,0,0,0,0,0,30,0.133333333
Cophixalus,0,0,2,0,0,0,30,0,0,0,0,5,0,2,0,1,0,40,0.25
Copiula,0,0,1,0,0,0,0,21,0,0,0,0,0,0,1,0,0,23,0.086956522
Gastrophrynoides,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0
Hylophorbus,0,0,0,0,0,0,2,0,0,20,0,0,0,0,1,1,0,24,0.166666667
Mantophryne,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0
Oreophryne,0,3,0,0,0,5,9,0,0,0,0,37,0,0,0,0,0,54,0.314814815
Paedophryne,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,18,0
Siamophryne,0,0,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,12,0.25
Sphenophryne,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3,0.333333333
Vietnamophryne,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,1
Xenorhina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0
