,Aphantophryne,Asterophrys,Austrochaperina,Barygenys,Callulops,Choerophryne,Cophixalus,Copiula,Gastrophrynoides,Hylophorbus,Mantophryne,Oreophryne,Paedophryne,Siamophryne,Sphenophryne,Vietnamophryne,Xenorhina,nsamp,class.error
Aphantophryne,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,3,1
Asterophrys,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0.1
Austrochaperina,0,0,22,0,0,0,2,1,0,0,0,0,0,0,0,0,0,25,0.12
Barygenys,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Callulops,0,0,1,0,66,0,0,0,0,0,0,0,0,0,0,0,0,67,0.014925373
Choerophryne,0,0,0,0,0,29,1,0,0,1,0,2,0,0,0,0,0,33,0.121212121
Cophixalus,2,1,1,0,0,1,41,0,0,0,0,5,0,2,0,0,0,53,0.226415094
Copiula,0,0,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,22,0.136363636
Gastrophrynoides,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0
Hylophorbus,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,21,0.047619048
Mantophryne,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,4,0.25
Oreophryne,0,0,0,0,0,2,7,0,0,0,0,36,0,0,0,0,0,45,0.2
Paedophryne,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,18,0
Siamophryne,0,0,0,0,0,0,3,0,0,0,0,1,0,7,0,0,0,11,0.363636364
Sphenophryne,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,6,1
Vietnamophryne,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,1
Xenorhina,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24,25,0.04
