,Aphantophryne,Asterophrys,Austrochaperina,Barygenys,Callulops,Choerophryne,Cophixalus,Copiula,Gastrophrynoides,Hylophorbus,Mantophryne,Oreophryne,Paedophryne,Siamophryne,Sphenophryne,Vietnamophryne,Xenorhina,class.error,nsamp
Aphantophryne,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3
Asterophrys,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,10
Austrochaperina,0,0,19,0,0,0,3,0,0,1,0,0,0,1,0,1,0,0.24,25
Barygenys,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.333333333,3
Callulops,0,0,1,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0.014492754,67
Choerophryne,0,0,1,0,0,4,2,0,0,0,0,0,0,0,1,0,0,0.5,33
Cophixalus,0,2,0,0,0,0,39,0,0,0,0,6,0,1,0,0,0,0.1875,53
Copiula,0,0,2,0,1,0,0,20,0,1,0,0,0,0,0,0,0,0.166666667,22
Gastrophrynoides,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0.25,4
Hylophorbus,0,0,2,0,0,0,0,1,0,18,1,0,0,0,0,0,0,0.181818182,21
Mantophryne,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.25,4
Oreophryne,0,0,0,0,0,0,7,0,0,0,0,17,0,1,0,0,0,0.32,45
Paedophryne,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,18
Siamophryne,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0.454545455,11
Sphenophryne,0,0,1,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0.666666667,6
Vietnamophryne,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3
Xenorhina,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,24,0.076923077,25
