"","Aphantophryne","Asterophrys","Austrochaperina","Barygenys","Callulops","Choerophryne","Cophixalus","Copiula","Gastrophrynoides","Hylophorbus","Mantophryne","Oreophryne","Paedophryne","Siamophryne","Sphenophryne","Vietnamophryne","Xenorhina","Genus","Genus.species"
"1",0.04,0.02,0,0,0,0.02,0.12,0,0,0,0,0,0.75,0,0.05,0,0,"Aphantophryne","Aphantophryne minuta"
"2",0.15,0.22,0,0,0.01,0.04,0.43,0,0,0,0,0.01,0.02,0,0.09,0,0.01,"Aphantophryne","Aphantophryne sabini"
"3",0.04,0.08,0.08,0,0.04,0.13,0.33,0,0.01,0.03,0,0.05,0.02,0,0.16,0,0.02,"Aphantophryne","Aphantophryne pansa"
"5",0.02,0.08,0.11,0,0.36,0.07,0.15,0.03,0,0.01,0.07,0.03,0,0,0.05,0,0.01,"Asterophrys","Asterophrys leucopus"
"6",0,0.5,0.15,0,0.05,0.01,0.13,0.01,0,0,0,0.13,0,0.02,0,0,0,"Asterophrys","Asterophrys marani"
"7",0,0.42,0.03,0,0.02,0.01,0.13,0.05,0,0,0,0.32,0,0,0,0,0,"Asterophrys","Asterophrys marani"
"8",0,0.5,0.05,0,0.04,0.01,0.13,0.02,0,0,0,0.23,0,0.01,0.01,0,0,"Asterophrys","Asterophrys marani"
"9",0.03,0.46,0.07,0,0.06,0.08,0.1,0.01,0,0.03,0.01,0,0.01,0.01,0.03,0.02,0.07,"Asterophrys","Asterophrys senglaubi"
"10",0.04,0.5,0,0,0.03,0.06,0.03,0,0.01,0,0,0,0.01,0,0.01,0.01,0.31,"Asterophrys","Asterophrys senglaubi"
"11",0.07,0.69,0.03,0,0.02,0.03,0.08,0.01,0,0.01,0.01,0,0.01,0,0.02,0.01,0,"Asterophrys","Asterophrys senglaubi"
"12",0.07,0.53,0.03,0,0.02,0.03,0.19,0.02,0.01,0.02,0,0,0.01,0,0.03,0.02,0.01,"Asterophrys","Asterophrys senglaubi"
"13",0.03,0.54,0.05,0,0.02,0.04,0.23,0.02,0.01,0.01,0,0,0.01,0,0.01,0.01,0.01,"Asterophrys","Asterophrys senglaubi"
"14",0.03,0.55,0,0,0.01,0.04,0.09,0,0.03,0,0,0,0.01,0,0.01,0.01,0.19,"Asterophrys","Asterophrys senglaubi"
"15",0,0,0.46,0,0.03,0.01,0.2,0,0,0.03,0.02,0.06,0,0.16,0,0.01,0,"Austrochaperina","Austrochaperina adamantina"
