"","Aphantophryne","Asterophrys","Austrochaperina","Barygenys","Callulops","Choerophryne","Cophixalus","Copiula","Gastrophrynoides","Hylophorbus","Mantophryne","Oreophryne","Paedophryne","Siamophryne","Sphenophryne","Vietnamophryne","Xenorhina","Genus","Genus.species"
"1",0,0.02,0.05,0.01,0,0,0.13,0,0,0,0,0,0.47,0,0,0.14,0.19,"Aphantophryne","Aphantophryne minuta"
"2",0,0.31,0.1,0.04,0,0.26,0.1,0,0,0.01,0,0.01,0,0.01,0.03,0.01,0.11,"Aphantophryne","Aphantophryne sabini"
"4",0,0.23,0.12,0,0.46,0,0.02,0.04,0,0.01,0.05,0,0,0,0.03,0,0.03,"Asterophrys","Asterophrys leucopus"
"5",0,0.37,0.22,0,0.17,0,0.16,0.01,0,0,0.05,0.02,0,0,0,0,0.01,"Asterophrys","Asterophrys marani"
"6",0,0.48,0.07,0,0.13,0,0.21,0.06,0,0,0.01,0.01,0,0,0.01,0,0.03,"Asterophrys","Asterophrys marani"
"7",0,0.53,0.1,0,0.16,0,0.11,0.03,0,0,0.02,0,0,0,0.01,0,0.04,"Asterophrys","Asterophrys marani"
"8",0,0.55,0.09,0,0,0.05,0.17,0,0,0,0,0.03,0,0.01,0,0,0.1,"Asterophrys","Asterophrys senglaubi"
"9",0.01,0.7,0.02,0,0,0.01,0.03,0,0,0,0,0.01,0,0,0,0,0.2,"Asterophrys","Asterophrys senglaubi"
"10",0.01,0.82,0.02,0,0,0.03,0.07,0,0,0,0,0.01,0,0,0,0,0.02,"Asterophrys","Asterophrys senglaubi"
"11",0,0.42,0.08,0,0,0.04,0.32,0,0,0,0,0.02,0,0.01,0,0.07,0.03,"Asterophrys","Asterophrys senglaubi"
"12",0.07,0.61,0.06,0,0,0.05,0.12,0,0,0,0,0.04,0,0.01,0,0,0.03,"Asterophrys","Asterophrys senglaubi"
"13",0.05,0.71,0.02,0,0,0.04,0.1,0,0,0,0,0.03,0,0.01,0,0.01,0.03,"Asterophrys","Asterophrys senglaubi"
"14",0,0,0.2,0,0,0,0.23,0,0.01,0.06,0,0.12,0,0.38,0,0,0,"Austrochaperina","Austrochaperina adamantina"
"15",0.01,0.02,0,0,0,0,0.63,0,0,0,0,0.02,0,0,0,0.29,0.02,"Austrochaperina","Austrochaperina adelphe"
"16",0,0.05,0.43,0,0.19,0,0.1,0.07,0,0.01,0.06,0.03,0,0,0.06,0,0.01,"Austrochaperina","Austrochaperina alexanderi"
"17",0,0.04,0.68,0,0.1,0,0.07,0.05,0,0,0.04,0,0,0,0.01,0,0.01,"Austrochaperina","Austrochaperina alexanderi"
"18",0,0.1,0.45,0,0.2,0,0.03,0.16,0,0,0.02,0,0,0,0.03,0,0,"Austrochaperina","Austrochaperina alexanderi"
"19",0,0.06,0.4,0,0.3,0,0.04,0.14,0,0,0.05,0,0,0,0.01,0,0.01,"Austrochaperina","Austrochaperina alexanderi"
