Subfamily,Species,Voucher,Locality.Data,Field.Number,Sample.Number,X16S,COI,BDNF,TYROSINASE,HISTONE,SIA,CMYC,X66.NGS.Loci,Name.on.fasta.file.and.figures
Asterophryinae,Albericus exclamitans,ABTC 98306,Papua New Guinea: Morobe Province: Huon Peninsula,,PT425,KM509085,KM509751,KM509216,KM509885,KM509489,KM509620,KM509357,Present,Albericus_exclamitans_PT425
Cophylinae,Anodonthyla nigrigularis,,Madagascar: Andohahela,FGZC 155,PT359,KM509090,KM509756,KM509221,KM509890,KM509494,KM509625,KM509362,Present,Anodonthyla_nigrigularis_PT359
Gastrophryninae,Arcovomer passarellii,MZUSP,Brazil: Espírito Santo: Linhares,MTR 12362,PT281,KM509093,KM509759,KM509224,KM509893,KM509497,KM509628,KM509365,Present,Arcovomer_passarellii_PT281
Asterophryinae,Barygenys nana,ABTC 98904,Papua New Guinea: Eastern Highlands: Mount Elimbari,,PT439,KM509099,KM509765,KM509230,KM509899,KM509503,KM509634,KM509371,Present,Barygenys_nana_PT439
Microhylinae,Calluella yunnanensis,CAS 242184,China: Yunan province Bao Shan Pref, ,PT164,KM509102,KM509769,KM509234,KM509902,KM509506,KM509637,KM509375,Present,Calluella_yunnanensis_PT164
Asterophryinae,Callulops personatus,ABTC 98910,Papua New Guinea: Eastern Highlands Province: Wamangu,,PT440,KM509104,KM509771,KM509236,KM509904,KM509508,KM509639,KM509377,Present,Callulops_personatus_PT440
Gastrophryninae,Chiasmocleis carvalhoi,MNCN/ADN 27503,"Peru: Loreto: Arboretum de la UNAM, camino hacia Puerto Almendras",FSU# 46,PT198,KM509110,KM509776,KM509243,KM509907,KM509514,KM509645,KM509384,Present,Chiasmocleis_carvalhoi_PT198
Asterophryinae,Choerophryne proboscidea,ABTC 98918,Papua New Guinea: East Sepik Provnince:  Wamangu,,PT441,KM509114,KM509779,KM509247,KM509910,KM509518,KM509649,KM509388,Present,Choerophryne_proboscidea_PT441
Asterophryinae,Cophixalus balbus,ABTC 111930,Papua New Guinea: Sandaun Province: Utai,,PT448,KM509115,KM509780,KM509248,KM509911,KM509519,KM509650,KM509389,Present,Cophixalus_balbus_PT448
Asterophryinae,Copiula oxyrhina,ABTC 98451,Papua-New Guinea: Milne Bay Province,,PT428,KM509121,Missing,KM509254,KM509917,KM509525,KM509656,Missing,Present,Copiula_oxyrhina_PT428
Gastrophryninae,Dasypops schirchi,CFBH 22938,"Brazil: Espírito Santo: Linhares, Floresta Nacional de Goytacazes",FSU# 36,PT332,KM509125,KM509789,KM509258,KM509921,KM509529,KM509660,KM509398,Present,Dasypops_schirchi_PT332
Gastrophryninae,Elachistocleis helianneae,MPEG 29419,"Brazil: Pará: Belém, Terra Firme",PLP 135,PT059,KM509130,KF621250,KM509263,KF621295,KM509534,KM509665,KM509402,Present,Elachistocleis_helianneae_PT059
Asterophryninae,Genyophryne thomsoni,ABTC 112116,"Papua New Guinea: Oro Province: Muruyane Mountain range, Managalas Plateau",FSU# 12,PT452,KM509134,KM509797,KM509268,KM509927,KM509539,KM509670,KM509408,Present,Genyophryne_thomsoni_PT452
